cut_budget,realized_cut,seed,dataset,model,optimizer,params,collapse_label,train_time_sec,shots_used,n_segments,avg_seg_length,med_seg_length,sse,od,metric_type,metric_value
0.0,0.0,1,geolife,random,none,0,never_cut,6.261118173599243,0,50,398.3,500.0,0.13667577465969782,0.051767126094805035,raw_ValCR,0.701877118185334
0.0,0.0,1,geolife,random,none,0,never_cut,6.261118173599243,0,50,398.3,500.0,0.13667577465969782,0.051767126094805035,nValCR,0.00435443342187336
0.0,0.0,1,geolife,random,none,0,never_cut,6.261118173599243,0,50,398.3,500.0,0.13667577465969782,0.051767126094805035,wValCR,0.0017621820692576803
0.02,0.0199345582683111,1,geolife,random,none,0,healthy,9.211432933807373,0,444,45.740990990990994,32.5,1.206110830012582,0.0503966705474057,raw_ValCR,0.6832959941637269
0.02,0.0199345582683111,1,geolife,random,none,0,healthy,9.211432933807373,0,444,45.740990990990994,32.5,1.206110830012582,0.0503966705474057,nValCR,0.03648563995040941
0.02,0.0199345582683111,1,geolife,random,none,0,healthy,9.211432933807373,0,444,45.740990990990994,32.5,1.206110830012582,0.0503966705474057,wValCR,0.014938373204426352
0.05,0.04747042537125598,1,geolife,random,none,0,healthy,0.9743196964263916,0,989,21.085945399393328,16.0,2.785373384741913,0.051187111113891445,raw_ValCR,0.6940130686616576
0.05,0.04747042537125598,1,geolife,random,none,0,healthy,0.9743196964263916,0,989,21.085945399393328,16.0,2.785373384741913,0.051187111113891445,nValCR,0.057568979448992016
0.05,0.04747042537125598,1,geolife,random,none,0,healthy,0.9743196964263916,0,989,21.085945399393328,16.0,2.785373384741913,0.051187111113891445,wValCR,0.032913538165645885
0.1,0.08547696954442487,1,geolife,random,none,0,healthy,1.2241230010986328,0,1736,12.442972350230415,9.0,4.720778904303169,0.05043543164494383,raw_ValCR,0.683821530918229
0.1,0.08547696954442487,1,geolife,random,none,0,healthy,1.2241230010986328,0,1736,12.442972350230415,9.0,4.720778904303169,0.05043543164494383,nValCR,0.08161647480950272
0.1,0.08547696954442487,1,geolife,random,none,0,healthy,1.2241230010986328,0,1736,12.442972350230415,9.0,4.720778904303169,0.05043543164494383,wValCR,0.05495644542725084
0.15,0.11593254467656683,1,geolife,random,none,0,healthy,1.4672520160675049,0,2340,9.489316239316238,8.0,6.410841952959407,0.05064354384894856,raw_ValCR,0.6866431902419189
0.15,0.11593254467656683,1,geolife,random,none,0,healthy,1.4672520160675049,0,2340,9.489316239316238,8.0,6.410841952959407,0.05064354384894856,nValCR,0.09585009522959564
0.15,0.11593254467656683,1,geolife,random,none,0,healthy,1.4672520160675049,0,2340,9.489316239316238,8.0,6.410841952959407,0.05064354384894856,wValCR,0.07235960662761046
0.2,0.1435690913667254,1,geolife,random,none,0,healthy,1.6315829753875732,0,2886,7.883229383229383,6.0,7.85700115037489,0.05037856829518869,raw_ValCR,0.6830505573860415
0.2,0.1435690913667254,1,geolife,random,none,0,healthy,1.6315829753875732,0,2886,7.883229383229383,6.0,7.85700115037489,0.05037856829518869,nValCR,0.10714798736948523
0.2,0.1435690913667254,1,geolife,random,none,0,healthy,1.6315829753875732,0,2886,7.883229383229383,6.0,7.85700115037489,0.05037856829518869,wValCR,0.0866460335201141
0.3,0.1867102944877926,1,geolife,random,none,0,healthy,1.9640130996704102,0,3733,6.321457272970801,5.0,10.189787178145002,0.05050248751906289,raw_ValCR,0.6847306983230003
0.3,0.1867102944877926,1,geolife,random,none,0,healthy,1.9640130996704102,0,3733,6.321457272970801,5.0,10.189787178145002,0.05050248751906289,nValCR,0.12391447185529764
0.3,0.1867102944877926,1,geolife,random,none,0,healthy,1.9640130996704102,0,3733,6.321457272970801,5.0,10.189787178145002,0.05050248751906289,wValCR,0.10831848872106788
0.4,0.21943116033224264,1,geolife,random,none,0,healthy,2.243572950363159,0,4385,5.530216647662486,5.0,12.08696539800794,0.050779607388357934,raw_ValCR,0.6884879881307537
0.4,0.21943116033224264,1,geolife,random,none,0,healthy,2.243572950363159,0,4385,5.530216647662486,5.0,12.08696539800794,0.050779607388357934,nValCR,0.1361897324645972
0.4,0.21943116033224264,1,geolife,random,none,0,healthy,2.243572950363159,0,4385,5.530216647662486,5.0,12.08696539800794,0.050779607388357934,wValCR,0.12449566300838578
0.5,0.24797382330732445,1,geolife,random,none,0,healthy,2.4232656955718994,0,4948,5.014753435731609,5.0,13.623789862480791,0.05070288076219912,raw_ValCR,0.6874477012282549
0.5,0.24797382330732445,1,geolife,random,none,0,healthy,2.4232656955718994,0,4948,5.014753435731609,5.0,13.623789862480791,0.05070288076219912,nValCR,0.14520370371816393
0.5,0.24797382330732445,1,geolife,random,none,0,healthy,2.4232656955718994,0,4948,5.014753435731609,5.0,13.623789862480791,0.05070288076219912,wValCR,0.1370850451649299
0.7,0.29176944374528063,1,geolife,random,none,0,healthy,2.7207298278808594,0,5816,4.4155777166437415,4.0,15.984679597427743,0.05065912960774117,raw_ValCR,0.6868545075062007
0.7,0.29176944374528063,1,geolife,random,none,0,healthy,2.7207298278808594,0,5816,4.4155777166437415,4.0,15.984679597427743,0.05065912960774117,nValCR,0.15904967076005552
0.7,0.29176944374528063,1,geolife,random,none,0,healthy,2.7207298278808594,0,5816,4.4155777166437415,4.0,15.984679597427743,0.05065912960774117,wValCR,0.15555258033783975
1.0,0.3324439969796124,1,geolife,random,none,0,healthy,2.992558002471924,0,6611,4.004840417486008,4.0,18.185566252588963,0.050692031380782515,raw_ValCR,0.6873006014539921
1.0,0.3324439969796124,1,geolife,random,none,0,healthy,2.992558002471924,0,6611,4.004840417486008,4.0,18.185566252588963,0.050692031380782515,nValCR,0.17168445395709156
1.0,0.3324439969796124,1,geolife,random,none,0,healthy,2.992558002471924,0,6611,4.004840417486008,4.0,18.185566252588963,0.050692031380782515,wValCR,0.17161747530640362
0.0,0.0,2,geolife,random,none,0,never_cut,10.0055091381073,0,50,398.3,500.0,0.13667577465969782,0.051767126094805035,raw_ValCR,0.701877118185334
0.0,0.0,2,geolife,random,none,0,never_cut,10.0055091381073,0,50,398.3,500.0,0.13667577465969782,0.051767126094805035,nValCR,0.00435443342187336
0.0,0.0,2,geolife,random,none,0,never_cut,10.0055091381073,0,50,398.3,500.0,0.13667577465969782,0.051767126094805035,wValCR,0.0017621820692576803
0.02,0.018676063428139943,2,geolife,random,none,0,healthy,0.8173859119415283,0,420,48.29761904761905,35.0,1.1420766086414735,0.05070389237971638,raw_ValCR,0.6874614170985626
0.02,0.018676063428139943,2,geolife,random,none,0,healthy,0.8173859119415283,0,420,48.29761904761905,35.0,1.1420766086414735,0.05070389237971638,nValCR,0.03629933544557062
0.02,0.018676063428139943,2,geolife,random,none,0,healthy,0.8173859119415283,0,420,48.29761904761905,35.0,1.1420766086414735,0.05070389237971638,wValCR,0.014233857292649558
0.05,0.04792348351371759,2,geolife,random,none,0,healthy,1.0124051570892334,0,1000,20.865,15.0,2.693045381528462,0.05022589692998477,raw_ValCR,0.6809805846847851
0.05,0.04792348351371759,2,geolife,random,none,0,healthy,1.0124051570892334,0,1000,20.865,15.0,2.693045381528462,0.05022589692998477,nValCR,0.05758114013621029
